sku,modelo_dimensionador,descripcion_hpe,list_price_usd,vigencia_list_price,estado_plc
JM962A,EC-XS,Aruba EC-XS SD-WAN Gateway,2752.00,2022-05-12,GA
R9D72A,EC-10104,Aruba EC-10104 SD-WAN Gateway,1546.00,2026-03-01,GA
S0E22A,EC-10106,Aruba EC-10106 SD-WAN Gateway,4318.00,2026-06-01,GA
S0E23A,EC-10108,HPE ANW EC 10108 SD-WAN Gateway,5588.00,2026-03-01,GA
S3N73A,EC-S,HPE ANW EC S-P AC NAL SD-WAN GW,13479.00,2026-06-01,GA
JZ872A,EC-M,Aruba EC-M-H SD-WAN Gateway,21323.00,2026-06-01,GA
JZ878A,EC-L,Aruba EC-L-H SD-WAN Gateway,34592.00,2025-06-01,GA
S0B67A,EC-XL,Aruba EC-XL-H-10G SD-WAN Gateway,46664.00,2025-06-01,ES
S2N65A,EC-10150,HPE ANW EC 10150 SD-WAN GW,47304.00,2026-06-01,GA
R1B20A,Gateway 9004,Aruba 9004 (US) Gateway,2505.00,2026-07-01,GA
R3V91A,Gateway 9004-LTE,Aruba 9004 (US) LTE Branch Gateway,3247.00,2026-07-01,GA
R1B31A,Gateway 9012,Aruba 9012 (US) Branch Gateway,4441.00,2026-07-01,GA
S5H02A,Gateway 9106,HPE ANW 9106 (US) Hybrid Gateway,9228.00,2025-07-07,GA
R9M45A,Gateway 9114,HPE ANW 9114 Hybrid Gateway,19944.00,2023-11-06,GA
R7H95A,Gateway 9240,Aruba 9240 (US) Campus Gateway,37614.00,2022-11-01,GA
S3N78A,EC-10104,HPE ANW EC 10104 TAA SD-WAN GW,1930.00,2026-03-01,GA
S3N69A,EC-10104,HPE ANW EC 10104 NAL SD-WAN GW,1685.00,2026-06-01,GA
S3N71A,EC-10106,HPE ANW EC 10106 NAL SD-WAN GW,4318.00,2026-06-01,GA
S3N72A,EC-10108,HPE ANW EC 10108 NAL SD-WAN GW,5588.00,2026-03-01,GA
S3N74A,EC-S,HPE ANW EC S-P DC NAL SD-WAN GW,15510.00,2026-06-01,GA
S3N77A,EC-XL,HPE ANW EC XL-H 2PS NAL SD-WAN Gateway,51290.00,2025-06-01,ES
R1B37A,Gateway 9012,Aruba 9012 (RW) TAA Gateway,5596.00,2026-07-01,GA
S1C49AAS,Suscripcion EdgeConnect Foundation,HPE ANW EC FDTN AAS 100M 1y Sub SaaS,900.00,2026-06-01,GA
S1C51AAS,Suscripcion EdgeConnect Foundation,HPE ANW EC Ftdn 100M 3y Sub SaaS,2700.00,2026-06-01,GA
S1C53AAS,Suscripcion EdgeConnect Foundation,HPE ANW EC Ftdn 100M 5y Sub SaaS,4500.00,2026-06-01,GA
S1A22AAS,Suscripcion EdgeConnect Foundation,HPE ANW EC FDTN AAS 1G 1y Sub SaaS,1680.00,2026-06-01,GA
S1A24AAS,Suscripcion EdgeConnect Foundation,HPE ANW EC Fnd 1Gb 3yr Sub SaaS,5040.00,2026-06-01,GA
S1A26AAS,Suscripcion EdgeConnect Foundation,HPE ANW EC Fnd 1Gb 5yr Sub SaaS,8400.00,2026-06-01,GA
S1A36AAS,Suscripcion EdgeConnect Foundation,HPE ANW EC Fnd UL 1yr Sub SaaS,7848.00,2026-06-01,GA
